Instância,pop_size,Melhor,Média,Desvio,Tempo médio (s)
i04,20,1047,1107.8,37.10741165858918,66.01612277030945
i04,50,682,741.6,45.433908042342125,168.46683530807496
i04,100,556,601.8,37.42405643433111,333.68030586242674
i06,20,1621,1746.6,96.45848848079676,89.23678779602051
i06,50,1123,1226.8,75.0930089955117,231.9752522945404
i06,100,723,834.0,62.95077441938265,468.338915681839
i18,20,12167,12552.8,282.92712842709165,229.07749547958375
i18,50,10711,10992.6,246.52350800684303,586.068154335022
i18,100,9191,9481.4,308.2885661194719,1189.1664560317993
i05,20,6650,6790.0,107.144761887831,117.3993718624115
i05,50,5290,5364.0,103.84603988597736,289.59662985801697
i05,100,4290,4530.0,138.70832707519762,588.1042320251465
